number,category
7596755829,spam
8546167967,not spam
6114301467,not spam
8382653533,not spam
8327195532,spam
7433108242,not spam
8632217073,not spam
6562067798,not spam
8589650464,not spam
8553582889,not spam
6903260007,not spam
8023958800,not spam
8866915979,not spam
8724312970,spam
9965296049,not spam
7353491039,not spam
9537863851,not spam
6808630315,not spam
7625591993,not spam
6084446771,not spam
8844435091,not spam
7332174289,not spam
7052560740,not spam
6568285023,spam
8142651196,spam
8974203299,not spam
9449339834,not spam
8275321588,not spam
8961850900,not spam
6520532744,spam
6754526305,not spam
8463135530,not spam
9639983120,not spam
9592270457,not spam
9415275924,not spam
6515181098,not spam
7488494989,spam
8356437284,spam
9009669044,spam
8272896978,not spam
7612948704,not spam
8216285980,spam
6001281653,not spam
8072681599,not spam
9622169857,spam
8566884130,spam
9619299638,not spam
7730414921,not spam
8116586111,not spam
6592192620,not spam
8704385497,not spam
7220096136,not spam
7781342100,spam
7721520642,not spam
7526789993,spam
8268061172,not spam
7920729586,not spam
9248517870,spam
7779615166,not spam
9779809833,not spam
8187370547,not spam
6978912548,not spam
9648139183,not spam
7684436915,spam
6086108902,not spam
7144344270,not spam
6001631262,spam
6699196822,not spam
7875654808,not spam
6606783064,spam
6143893108,spam
8477781966,not spam
9897368237,spam
7158876418,spam
7786313278,spam
7668999894,not spam
7555419915,spam
7684674202,not spam
9177482524,spam
9891371312,not spam
8159186321,not spam
8432615333,spam
8228252545,spam
9852577167,not spam
7654755032,spam
8855780112,not spam
6404920007,not spam
9720615505,not spam
7304297214,not spam
6572714320,not spam
7607781258,not spam
7941048777,not spam
7411917584,spam
9002412634,spam
8182658730,not spam
6719280372,not spam
9954701421,spam
9161897542,not spam
6098404513,not spam
8801067223,spam
6400321174,not spam
6419059342,not spam
6701163195,not spam
6243569003,spam
6140058066,spam
9619332941,not spam
9394049936,not spam
8014080324,not spam
8674934541,not spam
6786659441,not spam
9027331101,not spam
8291379989,spam
8508246369,spam
8227776396,spam
7449131662,not spam
8407998740,not spam
9048188430,spam
6818248704,not spam
7406878363,not spam
9080422700,not spam
8032716192,not spam
6270759165,not spam
9901648610,not spam
7830094673,spam
7548860171,not spam
7801290421,not spam
7823403397,not spam
6783679730,not spam
8546342969,not spam
9759231620,spam
8251092136,spam
6165634170,not spam
7530703505,not spam
7832106995,not spam
9728810412,spam
6215363456,not spam
9967674057,not spam
7410420727,not spam
7054236123,not spam
6539803259,not spam
7219596959,not spam
7452382775,spam
7775777247,spam
6758614006,not spam
7982112780,not spam
8555848377,not spam
8735604233,not spam
7156130401,not spam
9877771818,spam
6283511366,spam
8959609208,spam
7008369477,not spam
6952620640,not spam
8526478953,not spam
8920065441,spam
6686041885,spam
8441052680,spam
6235436868,spam
7077331298,not spam
9167213881,not spam
9759474843,not spam
9891194388,not spam
7245525969,spam
9324254955,spam
6356369075,spam
8462538307,not spam
7995247972,not spam
8275705783,not spam
6401730404,spam
8328587988,spam
6606858570,not spam
6719372550,not spam
8827567275,not spam
6712453875,not spam
8337139143,not spam
7574522193,not spam
8314832291,not spam
7629807155,not spam
7157082904,not spam
6332363450,spam
8712639370,spam
7673104734,not spam
9814342877,not spam
9703629990,not spam
6065375917,not spam
7665235164,not spam
6953949986,not spam
9675516289,not spam
6055796433,not spam
8783428795,not spam
7596032917,not spam
8060282431,not spam
9028576991,spam
7049571546,not spam
9385212292,not spam
7087182507,not spam
6456945517,not spam
8295528887,not spam
8848721806,spam
8520764424,not spam
8489794730,spam
8561715973,not spam
7064460286,spam
9629812147,spam
9697741912,not spam
6705642174,not spam
6291241177,spam
9162908638,spam
7080226662,not spam
9984718866,spam
6265745511,not spam
6957094596,not spam
8805666630,spam
9814117606,not spam
7977669871,spam
9969639122,not spam
8236798509,not spam
6231187185,spam
7229698224,not spam
7462920342,spam
8163239569,not spam
6426073716,spam
9439681668,not spam
6423246794,not spam
8709827744,spam
9818640168,spam
9336396762,spam
8662730940,not spam
6067287855,not spam
7051871480,spam
9432736911,not spam
6059427750,not spam
7413535812,not spam
7666364628,spam
9257785972,not spam
7124756430,not spam
6458929923,not spam
6942911406,not spam
9075745766,spam
7231245954,not spam
8276646925,not spam
9547897565,not spam
6058943078,spam
7346983759,spam
6168159099,not spam
7741923899,not spam
9563101292,not spam
9500354380,not spam
7343332580,not spam
7666178027,not spam
6082772004,not spam
6156037650,not spam
6771576574,not spam
7663265760,spam
8622829946,not spam
6114322430,not spam
8431710106,not spam
9837035461,not spam
8390296563,not spam
9131435028,not spam
8052214682,not spam
9034939170,spam
6839121549,not spam
7499754331,not spam
6001447453,spam
9442280987,not spam
7602669308,not spam
6077795713,not spam
9136279529,not spam
9823927687,spam
8290467669,not spam
8782047610,spam
7070242293,spam
6717241681,spam
6719153760,not spam
6593973492,not spam
8846293529,not spam
9838615661,not spam
8978933409,not spam
6832599101,not spam
8054286585,not spam
7469360527,not spam
7667076086,spam
6881386638,not spam
7173079323,not spam
8890705977,not spam
6044452034,not spam
7298643776,spam
6398373128,spam
8704123575,not spam
8238815425,not spam
7501653426,spam
8845196000,not spam
8313854381,not spam
6503432255,spam
7887736108,spam
8062782153,spam
7808120155,not spam
6133289394,not spam
8013752889,not spam
6932690262,not spam
7448947241,not spam
9418674729,spam
9667618795,not spam
9605390249,not spam
8798570113,not spam
6916910918,not spam
8832027102,not spam
9226827679,not spam
7492526580,spam
7912116406,not spam
9156272274,spam
7304131228,not spam
7354282216,spam
9473630486,not spam
6755008238,spam
9888998342,spam
7212924929,spam
7618092088,not spam
7578356713,spam
9168990816,not spam
6962067512,not spam
7780296582,not spam
7352067496,spam
6343659131,spam
8088218476,spam
9254681642,spam
6948940160,spam
6281101358,not spam
7489377280,not spam
9200953577,not spam
6521773339,not spam
7261518002,not spam
6346528753,not spam
8719316152,spam
9732624775,not spam
6910060990,spam
9848385845,not spam
9127652198,spam
7863939979,not spam
9979290961,spam
6551090849,not spam
9709349955,not spam
6207822189,not spam
7806768959,spam
6182633018,not spam
8642771957,not spam
6464104650,spam
6427966744,spam
8004595964,spam
9566841358,not spam
7623070582,not spam
7856966481,not spam
9999810868,not spam
7193695494,not spam
8326493092,not spam
7280727019,not spam
7928259851,not spam
7236775697,not spam
8865031391,not spam
8398470579,not spam
7713869469,not spam
7973727078,spam
8518695715,spam
8705659922,not spam
6129210920,not spam
9166589919,not spam
8756605526,not spam
7543209177,spam
8913931848,not spam
8231937359,spam
8329927876,not spam
8429209366,not spam
9963882205,not spam
9546474762,spam
9212621840,not spam
6840482102,not spam
7976200351,not spam
7626585734,not spam
9748203025,spam
6875811382,spam
9256826943,not spam
7427573484,spam
9065034410,not spam
7293175992,not spam
8185440819,not spam
6730846313,not spam
6960939951,not spam
6083770799,spam
8415754912,not spam
9372914557,not spam
